Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77,Knee injury,9-Nov-19,13-Jan-20,draw,Wolves,0,7.4,win,West Ham,1,6.1,win,Bournemouth,1,5.8,lose,Aston Villa,-2,draw,Man City,0,win,Sheffield,2,win,Chelsea,1,7.1,draw,Everton,0,6.2,draw,Norwich City,0,6.7
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Knee injury,20-Oct-19,24-Nov-19,lose,Leicester,-5,5.8,win,Man United,1,7.5,lose,Chelsea,-1,6.1,draw,Wolves,0,win,West Ham,1,win,Bournemouth,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Hamstring strain,2-Jan-20,17-Jan-20,lose,Man United,-3,4.9,lose,Everton,-1,7.7,lose,Leicester,-3,5.6,draw,Wolves,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Everton,0,6(S),lose,Arsenal,-4,N.A.,lose,Crystal Palace,-1,6.5
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Shoulder injury,16-Jul-20,28-Sep-20,lose,Man City,-5,5.2,lose,Watford,-1,6.3,lose,Tottenham,-2,6.3,draw,Brighton,0,lose,Liverpool,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Paul Dummett,Newcastle,Center Back,28,2019/20,75,Groin injury,22-Dec-19,10-Jan-20,win,Southampton,2,5.8,lose,Burnley,-1,6,win,Crystal Palace,1,6.2,lose,Man United,-3,lose,Everton,-1,lose,Leicester,-3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Calf injury,9-Dec-19,10-Jan-20,draw,Man City,0,6,win,Sheffield,2,6.4,win,Southampton,1,6.4,lose,Burnley,-1,win,Crystal Palace,1,lose,Man United,-3,draw,Wolves,0,6.5,win,Chelsea,1,6.9,draw,Everton,0,6.3
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Ankle injury,16-Feb-20,14-Sep-20,draw,Everton,0,6.3,draw,Norwich City,0,7,lose,Arsenal,-4,5.6,lose,Crystal Palace,-1,draw,Burnley,0,win,Southampton,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,22-Sep-19,5-Oct-19,draw,Watford,0,6.7,lose,Liverpool,-2,6.5,draw,Brighton,0,6.3,lose,Leicester,-5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Man United,1,7.7,lose,Chelsea,-1,6.2,draw,Wolves,0,6.5
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,15-Dec-19,25-Dec-19,win,Sheffield,2,6,win,Southampton,-1,5.8,lose,Burnley,-1,6.2,win,Crystal Palace,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Man United,-3,6,lose,Everton,-1,6.8,lose,Leicester,-3,5.8
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Cruciate ligament tear,18-Jan-20,20-Sep-20,lose,Leicester,-3,5.8,draw,Wolves,0,6.3,win,Chelsea,1,6.1,draw,Everton,0,draw,Norwich City,0,lose,Arsenal,-4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
